ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,rs_pct,flow_score,flow_txt,score
031980,피에스케이홀딩스,KOSDAQ150,166900.00,0.06,174000.00,-4.08,0.51,0.83,263.34,-4.08,6,,관찰,"피벗 174,000까지 4.1%",174174.00,168780.00,191591.40,3.23,-3.10,96.06,100.00,5일 +53억 (외 +240 / 기 -187),86.20
086790,하나금융지주,KOSPI200,137700.00,0.36,142000.00,-3.03,0.82,0.42,988.75,-3.37,6,,관찰,"피벗 142,000까지 3.0%",142142.00,137740.00,156356.20,3.23,-3.10,76.35,100.00,5일 +122억 (외 +33 / 기 +88),80.80
055550,신한지주,KOSPI200,113500.00,0.80,116500.00,-2.58,0.70,0.75,1193.99,-2.58,6,,관찰,"피벗 116,500까지 2.6%",116616.50,113005.00,128278.15,3.23,-3.10,77.19,100.00,5일 +168억 (외 -469 / 기 +637),80.50
043260,성호전자,KOSDAQ150,21700.00,14.94,20400.00,6.37,7.89,0.69,408.34,-63.59,4,"50>150일선, 52주고가 75%↑",,"피벗 대비 +6.4% 과열, 추격 금지",21700.00,,23870.00,,,99.00,50.00,-,79.70
105560,KB금융,KOSPI200,178900.00,1.07,181700.00,-1.54,0.71,0.56,1974.49,-8.02,6,,관찰,"피벗 181,700까지 1.5%",181881.70,176249.00,200069.87,3.23,-3.10,72.99,100.00,"5일 +248억 (외 -985 / 기 +1,233)",79.10
241710,코스메카코리아,KOSDAQ150,132000.00,-3.37,155500.00,-15.11,0.77,0.40,174.73,-15.11,6,,,,132000.00,,145200.00,,,93.55,50.00,-,76.60
028050,삼성E&A,KOSPI200,51200.00,1.99,51800.00,-1.16,0.69,0.56,728.23,-23.92,6,,관찰,"피벗 51,800까지 1.2%",51851.80,50246.00,57036.98,3.23,-3.10,86.00,65.00,5일 +116억 (외 -233 / 기 +349),76.50
131290,티에스이,KOSDAQ150,248500.00,2.26,318500.00,-21.98,0.37,0.73,407.08,-21.98,6,,,,248500.00,,273350.00,,,97.74,50.00,-,76.10
078930,GS,KOSPI200,113100.00,1.53,133200.00,-15.09,0.68,0.42,569.04,-15.09,6,,,,113100.00,,124410.00,,,92.71,50.00,-,75.80
010950,S-Oil,KOSPI200,152200.00,5.99,170800.00,-10.89,0.71,0.92,643.69,-14.06,6,,,,152200.00,,167420.00,,,91.87,50.00,-,75.70
021240,코웨이,KOSPI200,107000.00,-0.56,108500.00,-1.38,0.45,0.37,173.20,-2.01,6,,관찰,"피벗 108,500까지 1.4%",108608.50,105245.00,119469.35,3.23,-3.10,66.28,100.00,5일 +84억 (외 -109 / 기 +193),75.50
088350,한화생명,KOSPI200,6040.00,2.90,6550.00,-7.79,1.24,0.48,294.62,-20.11,6,,,,6040.00,,6644.00,,,83.06,50.00,-,75.30
161890,한국콜마,KOSPI200,147200.00,-2.00,165900.00,-11.27,0.54,0.19,494.32,-11.27,6,,,,147200.00,,161920.00,,,93.13,50.00,-,75.30
222800,심텍,KOSDAQ150,128600.00,-0.46,138300.00,-7.01,0.29,0.18,941.35,-21.68,6,,,,128600.00,,141460.00,,,94.81,50.00,-,74.60
192820,코스맥스,KOSPI200,271500.00,-3.21,306500.00,-11.42,0.73,0.09,419.90,-11.42,6,,,,271500.00,,298650.00,,,87.25,50.00,-,74.20
001450,현대해상,KOSPI200,49150.00,1.55,54700.00,-10.15,0.68,0.49,237.06,-10.15,6,,,,49150.00,,54065.00,,,85.16,50.00,-,73.20
295310,에이치브이엠,KOSDAQ150,61200.00,13.54,54400.00,12.50,4.95,0.93,58.61,-57.50,4,"50>150일선, 52주고가 75%↑",,"피벗 대비 +12.5% 과열, 추격 금지",61200.00,,67320.00,,,79.70,50.00,-,72.90
036930,주성엔지니어링,KOSDAQ150,203500.00,1.50,239500.00,-15.03,0.49,0.25,2397.43,-28.09,5,52주고가 75%↑,,,203500.00,,223850.00,,,98.58,50.00,-,72.00
009150,삼성전기,KOSPI200,1343000.00,-2.11,1475000.00,-8.95,0.52,0.16,7902.57,-44.44,5,52주고가 75%↑,,,1343000.00,,1477300.00,,,98.16,50.00,-,71.90
093370,후성,KOSPI200,14570.00,-0.21,15410.00,-5.45,1.10,0.13,419.97,-38.13,5,52주고가 75%↑,,,14570.00,,16027.00,,,89.35,50.00,-,71.80
000660,SK하이닉스,KOSPI200,1756000.00,-0.06,1890000.00,-7.09,0.52,0.42,57905.27,-41.21,5,52주고가 75%↑,,,1756000.00,,1931600.00,,,96.90,50.00,-,71.50
000150,두산,KOSPI200,1410000.00,1.88,1397000.00,0.93,2.58,0.25,981.59,-43.35,4,"50>150일선, 52주고가 75%↑",,,1410000.00,,1551000.00,,,81.38,50.00,-,71.40
082740,한화엔진,KOSPI200,53000.00,10.19,52400.00,1.15,2.68,0.75,351.19,-43.86,4,"50>150일선, 52주고가 75%↑",돌파,"피벗 52,400 돌파, 거래량 2.7배",53000.00,50828.00,58300.00,2.44,-4.10,51.18,100.00,5일 +260억 (외 -327 / 기 +586),71.30
100790,미래에셋벤처투자,KOSDAQ150,17070.00,3.64,18000.00,-5.17,2.93,0.48,106.99,-75.86,4,"50>150일선, 52주고가 75%↑",,,17070.00,,18777.00,,,75.93,50.00,-,71.20
096530,씨젠,KOSDAQ150,33550.00,4.03,35750.00,-6.15,0.93,0.85,121.96,-6.15,6,,,,33550.00,,36905.00,,,74.67,50.00,-,70.80
005830,DB손해보험,KOSPI200,192500.00,2.94,208000.00,-7.45,0.79,0.60,441.89,-10.05,6,,,,192500.00,,211750.00,,,76.77,50.00,-,70.80
375500,DL이앤씨,KOSPI200,83900.00,-3.12,90600.00,-7.40,0.81,0.11,350.50,-21.29,5,50>150일선,,"눌림 조건 충족, 손익비 1.4로 제외",83900.00,,92290.00,,,88.09,50.00,-,69.90
251970,펌텍코리아,KOSDAQ150,62300.00,2.13,66500.00,-6.32,1.20,0.22,60.38,-11.25,5,150>200일선,,,62300.00,,68530.00,,,78.86,50.00,-,68.60
316140,우리금융지주,KOSPI200,36250.00,-0.14,36950.00,-1.89,0.77,0.50,1080.66,-12.65,6,,,"눌림 조건 충족, 손익비 1.4로 제외",36250.00,,39875.00,,,70.47,50.00,-,68.50
033780,KT&G,KOSPI200,172700.00,0.58,179000.00,-3.52,0.72,0.52,341.04,-10.24,5,종가>50일선,관찰,"피벗 179,000까지 3.5%",179179.00,173630.00,197096.90,3.23,-3.10,56.63,100.00,5일 +192억 (외 +262 / 기 -71),68.40
096770,SK이노베이션,KOSPI200,139500.00,1.90,164700.00,-15.30,0.50,0.68,1745.28,-15.30,6,,,"눌림 조건 충족, 손익비 1.4로 제외",139500.00,,153450.00,,,73.41,50.00,-,68.20
066570,LG전자,KOSPI200,198500.00,-0.55,225500.00,-11.97,0.33,0.24,1334.69,-54.68,5,52주고가 75%↑,,,198500.00,,218350.00,,,90.19,50.00,-,68.20
067310,하나마이크론,KOSDAQ150,37800.00,6.33,39150.00,-3.45,2.02,0.67,485.08,-35.38,4,"50>150일선, 52주고가 75%↑",,,37800.00,,41580.00,,,80.12,50.00,-,68.10
