ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,target_pct,atr_pct,rs_pct,flow_score,flow_txt,score,qty,amount
316140,우리금융지주,KOSPI200,35400.00,-1.26,37050.00,-4.45,0.54,0.19,1129.68,-14.70,6,,눌림,"09/14 돌파 후 피벗 눌림, 거래량 0.5배",35400.00,33551.79,39096.43,2.00,-5.22,10.44,3.48,67.22,100.00,5일 +44억 (외 -306 / 기 +350),87.40,27,955800.00
003490,대한항공,KOSPI200,31400.00,-0.79,31650.00,-0.79,1.52,0.30,866.84,-2.18,6,,관찰,"피벗 31,650까지 0.8%",31681.65,30031.65,34981.65,2.00,-5.21,10.42,3.50,68.85,100.00,"5일 +1,318억 (외 +662 / 기 +656)",81.70,30,950449.50
034730,SK,KOSPI200,606000.00,3.06,628000.00,-3.50,0.74,0.56,742.04,-31.37,5,52주고가 75%↑,관찰,"피벗 628,000까지 3.5%",628628.00,587270.86,711342.29,2.00,-6.58,13.16,4.55,89.63,100.00,5일 +327억 (외 -232 / 기 +559),80.10,1,628628.00
222800,심텍,KOSDAQ150,148900.00,0.00,156600.00,-4.92,0.72,0.53,1006.84,-9.32,6,,,"관찰 조건 충족, 변동성 과대(ATR 6.2%)로 제외",156756.60,,178702.52,,,,6.23,96.15,50.00,-,77.20,0,0.00
131290,티에스이,KOSDAQ150,289000.00,2.85,318500.00,-9.26,0.51,0.81,397.25,-9.26,6,,,"눌림 조건 충족, 변동성 과대(ATR 8.5%)로 제외",289000.00,,329460.00,,,,8.48,97.78,50.00,-,76.80,0,0.00
005930,삼성전자,KOSPI200,285500.00,2.88,283500.00,0.71,0.78,1.00,43746.51,-23.77,6,,,,285500.00,,314214.29,,,,3.35,93.30,50.00,-,76.60,0,0.00
010950,S-Oil,KOSPI200,156300.00,2.02,170800.00,-8.49,0.88,0.42,680.55,-11.74,6,,,,156300.00,,178182.00,,,,6.05,90.44,50.00,-,76.10,0,0.00
161890,한국콜마,KOSPI200,146800.00,0.55,165900.00,-11.51,0.72,0.60,463.20,-11.51,6,,,,146800.00,,167352.00,,,,4.96,92.48,50.00,-,76.00,0,0.00
093370,후성,KOSPI200,13920.00,2.50,15410.00,-9.67,2.13,0.14,486.49,-40.89,5,52주고가 75%↑,,,13920.00,,15868.80,,,,7.42,85.96,50.00,-,75.80,0,0.00
031980,피에스케이홀딩스,KOSDAQ150,163200.00,3.16,174000.00,-6.21,0.48,0.92,277.06,-6.21,6,,,,163200.00,,186048.00,,,,9.23,95.33,50.00,-,75.80,0,0.00
078930,GS,KOSPI200,110400.00,0.73,133200.00,-17.12,0.66,0.37,509.58,-17.12,6,,,,110400.00,,125856.00,,,,5.56,92.07,50.00,-,75.50,0,0.00
009150,삼성전기,KOSPI200,1500000.00,0.74,1548000.00,-3.10,0.63,0.39,8477.72,-37.94,5,52주고가 75%↑,관찰,"피벗 1,548,000까지 3.1%",1549548.00,1441119.43,1766405.14,2.00,-7.00,13.99,4.82,98.19,65.00,"5일 +5,398억 (외 +937 / 기 +4,460)",75.50,0,0.00
036540,SFA반도체,KOSDAQ150,10570.00,-0.56,11160.00,-5.29,1.51,0.48,562.02,-9.19,5,50>150일선,,,10570.00,,12049.80,,,,7.48,93.70,50.00,-,75.40,0,0.00
319660,피에스케이,KOSDAQ150,144400.00,9.48,140900.00,2.48,1.31,0.96,408.23,-34.21,5,52주고가 75%↑,,,144400.00,,164616.00,,,,6.80,96.56,50.00,-,75.30,0,0.00
241710,코스메카코리아,KOSDAQ150,127100.00,-0.31,155500.00,-18.26,0.43,0.72,151.30,-18.26,6,,,,127100.00,,144894.00,,,,6.41,91.67,50.00,-,74.20,0,0.00
402340,SK스퀘어,KOSPI200,1180000.00,4.06,1199000.00,-1.58,0.93,0.54,5281.63,-46.09,5,52주고가 75%↑,,"관찰 조건 충족, 변동성 과대(ATR 5.3%)로 제외",1200199.00,,1368226.86,,,,5.30,97.37,50.00,-,73.80,0,0.00
472150,TIGER 배당커버드콜액티브,ETF,21290.00,1.36,21485.00,-0.91,0.91,0.65,765.39,-24.29,6,,관찰,"피벗 21,485까지 0.9%",21506.48,20655.77,23207.91,2.00,-3.96,7.91,2.66,81.89,50.00,ETF 수급 미반영,73.20,58,1247376.13
095610,테스,KOSDAQ150,161900.00,8.95,166300.00,-2.65,0.78,1.00,564.18,-31.54,5,52주고가 75%↑,,"관찰 조건 충족, 변동성 과대(ATR 7.2%)로 제외",166466.30,,189771.58,,,,7.18,96.96,50.00,-,72.80,0,0.00
192820,코스맥스,KOSPI200,270500.00,0.00,306500.00,-11.75,0.52,0.70,355.55,-11.75,6,,,,270500.00,,308370.00,,,,5.35,85.56,50.00,-,72.50,0,0.00
096770,SK이노베이션,KOSPI200,148800.00,5.31,164700.00,-9.65,0.94,0.74,1613.05,-9.65,6,,,,148800.00,,169632.00,,,,6.28,79.44,50.00,-,72.50,0,0.00
